timestamp,user_id,product_id,product_name,category,price,quantity,payment_method
2023-11-16 20:54:19,a6e8552f-0d8c-430f-8234-e87464617bdc,P1848,Kid's Toy Car,kids,108.88,4,wallet
2023-11-27 21:58:55,b74c0e65-2f8d-4751-adaf-d5b161a9d329,P7351,Men's Jeans,men,122.71,2,upi
2023-01-29 22:10:02,3f1e99c8-1861-44e9-8aa0-d6a9a62b8fc7,P4411,Men's Shoes,men,13.63,2,wallet
2023-01-01 14:49:05,f710f8c5-520e-40d7-895c-f0ff21082752,P5836,Men's Formal Shirt,men,116.55,5,upi
2023-11-04 13:53:34,0f86d049-9517-40f5-bfad-6b37c3b486ec,P4135,Kid's Story Book,kids,64.59,5,credit_card
2023-11-08 19:55:50,bb6eeee7-3194-4a19-82fa-7ede4452a1d6,P7997,Women's Sandals,women,48.68,2,upi
2023-04-11 07:53:30,6412ac9b-02e7-4f63-8761-f8b2aef0286f,P6131,Kid's Onesie,kids,15.53,1,upi
2023-10-24 10:12:54,8870ae56-884c-4f9d-b041-bfc01c9f6571,P3635,Women's Handbag,women,88.62,4,upi
2023-10-09 17:17:35,5640a584-99c4-484c-b894-7cd7a4dd4bb1,P4940,Men's Shoes,men,169.59,4,upi
2023-08-21 22:26:12,b1da578c-f859-4614-b0fa-583cbc41cbea,P7118,Women's Dress,women,93.47,1,upi
2023-07-24 16:06:16,1c19c1c4-57a3-40d9-9760-e307c999876c,P7843,Men's Shoes,men,192.59,3,upi
2023-10-08 06:26:33,f7a73d2a-3261-45c6-8044-69315b9d34c0,P8783,Women's Earrings,women,108.18,4,wallet
2023-05-02 01:42:50,d9b77988-43e8-4fbf-9805-db06005b28b3,P4271,Men's Formal Shirt,men,49.23,4,credit_card
2023-03-08 01:19:55,2b0ca887-8aad-4f19-a41a-3298f769a282,P5837,Kid's Tricycle,kids,67.72,1,upi
2023-08-09 04:12:56,9af85f04-2771-484b-bdc0-2cb9e157941b,P7448,Women's Sandals,women,60.13,4,credit_card
2023-06-09 16:36:20,dc0372a0-eeab-4b91-8b9e-d301eeb83501,P8333,Kid's Building Blocks,kids,11.43,2,upi
2023-04-26 09:47:09,157a3a80-ceae-49fd-8df9-dacd0e2195a9,P6786,Kid's Onesie,kids,45.8,2,wallet
2023-05-14 11:06:09,8ae35929-491e-400e-a5d9-aa481c095cb2,P2595,Kid's Toy Car,kids,120.19,4,credit_card
2023-01-02 18:15:28,34fb2efd-98f6-4284-ad6a-decd80670ecd,P5355,Men's Formal Shirt,men,53.85,5,credit_card
2023-10-03 23:18:57,fdf92116-54d5-4d01-b6c4-d8bae4d0cc93,P5722,Kid's Building Blocks,kids,99.82,5,upi
2023-06-27 01:56:55,39e51fae-6684-420d-8d38-b1dc3927dba3,P9957,Kid's Building Blocks,kids,25.82,2,upi
2023-06-29 16:33:42,6dfa4fd9-c93f-4b83-b3a4-d36a036b67f8,P9627,Women's Sandals,women,6.43,3,upi
2023-07-03 17:47:39,a6462c45-d345-4004-949a-af3e5c3ad3e3,P9241,Women's Earrings,women,158.07,4,wallet
2023-01-29 16:12:04,5962317d-9475-4677-b051-293c3214d335,P9535,Men's Shoes,men,164.74,1,wallet
2023-11-26 12:32:23,55d046bb-31fd-461a-ba9a-f59d4893c556,P1031,Kid's Toy Car,kids,23.33,4,credit_card
2023-02-26 17:55:13,16a1d91e-c4b6-4630-8a0c-354a8de3dd24,P7488,Kid's Building Blocks,kids,183.67,2,wallet
2023-11-24 10:55:35,a40d220a-a0ee-4802-8c6f-271d74feed79,P4354,Kid's Toy Car,kids,135.5,2,wallet
2023-08-05 15:24:54,a424e2bf-3ed0-46b0-8118-6b322182a00b,P3907,Women's Scarf,women,94.89,1,upi
2023-05-03 07:19:08,a5c67b55-4a8c-4dd0-bfac-e02b06c4900b,P6748,Women's Earrings,women,172.23,2,upi
2023-04-27 11:11:12,2848e6a5-e085-446b-b26b-75e04854748d,P1800,Kid's Tricycle,kids,139.32,2,wallet
2023-05-14 13:03:48,e18a66a1-2725-4a92-9f0f-19c6348ece17,P4903,Kid's Toy Car,kids,58.11,4,wallet
2023-06-13 07:14:00,747b8d71-eccb-49e4-927b-f7d2b1037cc8,P8350,Men's T-Shirt,men,63.74,5,upi
2023-09-02 22:31:49,67c99679-5e98-416d-86b7-9b20805a20ff,P2740,Men's Jeans,men,98.06,1,credit_card
2023-01-18 17:19:10,56d8cf0f-02b4-4d21-9719-6b6943aa6e14,P4834,Women's Handbag,women,45.66,2,credit_card
