user_id,product_id,product_name,category,price,quantity,payment_method,timestamp,total_purchase_amount
a6e8552f-0d8c-430f-8234-e87464617bdc,P1848,Kid's Toy Car,kids,108.88,4,wallet,2023-11-16T20:54:19.000Z,435.52
b74c0e65-2f8d-4751-adaf-d5b161a9d329,P7351,Men's Jeans,men,122.71,2,upi,2023-11-27T21:58:55.000Z,245.42
3f1e99c8-1861-44e9-8aa0-d6a9a62b8fc7,P4411,Men's Shoes,men,13.63,2,wallet,2023-01-29T22:10:02.000Z,27.26
f710f8c5-520e-40d7-895c-f0ff21082752,P5836,Men's Formal Shirt,men,116.55,5,upi,2023-01-01T14:49:05.000Z,582.75
0f86d049-9517-40f5-bfad-6b37c3b486ec,P4135,Kid's Story Book,kids,64.59,5,credit_card,2023-11-04T13:53:34.000Z,322.95
bb6eeee7-3194-4a19-82fa-7ede4452a1d6,P7997,Women's Sandals,women,48.68,2,upi,2023-11-08T19:55:50.000Z,97.36
6412ac9b-02e7-4f63-8761-f8b2aef0286f,P6131,Kid's Onesie,kids,15.53,1,upi,2023-04-11T07:53:30.000Z,15.53
8870ae56-884c-4f9d-b041-bfc01c9f6571,P3635,Women's Handbag,women,88.62,4,upi,2023-10-24T10:12:54.000Z,354.48
5640a584-99c4-484c-b894-7cd7a4dd4bb1,P4940,Men's Shoes,men,169.59,4,upi,2023-10-09T17:17:35.000Z,678.36
b1da578c-f859-4614-b0fa-583cbc41cbea,P7118,Women's Dress,women,93.47,1,upi,2023-08-21T22:26:12.000Z,93.47
1c19c1c4-57a3-40d9-9760-e307c999876c,P7843,Men's Shoes,men,192.59,3,upi,2023-07-24T16:06:16.000Z,577.77
f7a73d2a-3261-45c6-8044-69315b9d34c0,P8783,Women's Earrings,women,108.18,4,wallet,2023-10-08T06:26:33.000Z,432.72
d9b77988-43e8-4fbf-9805-db06005b28b3,P4271,Men's Formal Shirt,men,49.23,4,credit_card,2023-05-02T01:42:50.000Z,196.92
2b0ca887-8aad-4f19-a41a-3298f769a282,P5837,Kid's Tricycle,kids,67.72,1,upi,2023-03-08T01:19:55.000Z,67.72
9af85f04-2771-484b-bdc0-2cb9e157941b,P7448,Women's Sandals,women,60.13,4,credit_card,2023-08-09T04:12:56.000Z,240.52
dc0372a0-eeab-4b91-8b9e-d301eeb83501,P8333,Kid's Building Blocks,kids,11.43,2,upi,2023-06-09T16:36:20.000Z,22.86
157a3a80-ceae-49fd-8df9-dacd0e2195a9,P6786,Kid's Onesie,kids,45.8,2,wallet,2023-04-26T09:47:09.000Z,91.6
8ae35929-491e-400e-a5d9-aa481c095cb2,P2595,Kid's Toy Car,kids,120.19,4,credit_card,2023-05-14T11:06:09.000Z,480.76
34fb2efd-98f6-4284-ad6a-decd80670ecd,P5355,Men's Formal Shirt,men,53.85,5,credit_card,2023-01-02T18:15:28.000Z,269.25
fdf92116-54d5-4d01-b6c4-d8bae4d0cc93,P5722,Kid's Building Blocks,kids,99.82,5,upi,2023-10-03T23:18:57.000Z,499.1
39e51fae-6684-420d-8d38-b1dc3927dba3,P9957,Kid's Building Blocks,kids,25.82,2,upi,2023-06-27T01:56:55.000Z,51.64
6dfa4fd9-c93f-4b83-b3a4-d36a036b67f8,P9627,Women's Sandals,women,6.43,3,upi,2023-06-29T16:33:42.000Z,19.29
a6462c45-d345-4004-949a-af3e5c3ad3e3,P9241,Women's Earrings,women,158.07,4,wallet,2023-07-03T17:47:39.000Z,632.28
5962317d-9475-4677-b051-293c3214d335,P9535,Men's Shoes,men,164.74,1,wallet,2023-01-29T16:12:04.000Z,164.74
55d046bb-31fd-461a-ba9a-f59d4893c556,P1031,Kid's Toy Car,kids,23.33,4,credit_card,2023-11-26T12:32:23.000Z,93.32
